"","car1","car2","car3","car4","car5","car6","car7","car8","car9","car10","car11","car12","car13","car14","car15","car16","car17","car18","car19","car20","car21","car22","car23","car24","car25","car26","car27","car28","car29","car30","car31","car32","car33","car34","car35","car36","car37","car38","car39","car40","car41","car42","car43"
"car1",0,44,11,24,12,1,67,16,49,21,44,1,15,135,207,6,115,204,0,6,22,14,7,51,637,0,18,52,67,8,57,107,7,5,0,55,7,39,603,0,145,16,16
"car2",44,0,0,18,0,0,35,4,0,0,12,0,101,0,71,0,0,164,98,20,0,0,0,0,0,0,0,0,27,0,2,45,73,74,0,0,0,124,0,0,26,0,254
"car3",11,0,0,4,23,183,3,0,1,286,0,2,0,35,41,221,19,0,0,5,16,156,485,1603,150,22,0,9,1,45,0,12,0,0,24,15,168,3,219,0,5,3,3
"car4",24,18,4,0,4,0,63,1,7,0,7,0,46,6,31,0,9,38,0,0,1,0,3,17,37,0,0,0,27,1,1,32,15,0,0,1,0,33,25,0,27,3,9
"car5",12,0,23,4,0,0,0,0,13,8,0,0,0,33,4,39,24,3,0,0,19,1,6,25,81,8,3,9,2,15,0,5,0,0,0,0,12,0,143,0,4,5,0
"car6",1,0,183,0,0,0,0,0,0,54,0,0,0,6,3,31,4,0,0,0,2,38,137,377,54,7,0,4,0,1,6,0,0,0,0,10,35,0,31,0,0,5,1
"car7",67,35,3,63,0,0,0,1,3,1,2,0,0,9,32,0,17,56,0,0,3,0,1,1,46,0,6,3,37,0,17,11,0,0,0,0,0,20,74,0,25,1,1
"car8",16,4,0,1,0,0,1,0,1,0,2,0,10,2,4,0,1,41,0,0,0,0,0,12,6,0,0,0,15,0,0,8,4,1,0,0,0,4,1,0,18,0,7
"car9",49,0,1,7,13,0,3,1,0,2,5,0,0,125,22,8,58,18,0,0,15,0,3,9,279,0,7,12,11,6,0,11,0,0,0,3,47,0,271,0,15,24,0
"car10",21,0,286,0,8,54,1,0,2,0,0,3,0,40,19,31,18,0,8,2,14,93,212,639,38,7,0,8,7,23,6,17,0,0,0,10,46,11,97,0,3,6,0
"car11",44,12,0,7,0,0,2,2,5,0,0,0,0,14,44,0,4,43,0,0,7,0,6,0,84,0,7,0,14,0,3,1,6,0,0,0,0,15,63,0,28,1,2
"car12",1,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,15,0,0,0,1,0,0,0,0,4,0,0,0,0,3,1,0,0,0,1
"car13",15,101,0,46,0,0,0,10,0,0,0,0,0,0,58,0,0,13,81,0,0,0,0,0,0,0,0,0,12,0,0,53,115,21,0,0,0,86,0,0,6,0,212
"car14",135,0,35,6,33,6,9,2,125,40,14,0,0,0,97,237,194,73,0,2,70,13,28,98,946,32,33,90,33,126,2,58,0,0,0,32,195,0,1247,0,95,30,0
"car15",207,71,41,31,4,3,32,4,22,19,44,0,58,97,0,1,87,211,4,15,18,7,33,96,327,1,10,45,90,3,20,102,41,20,28,10,6,46,329,0,68,12,2
"car16",6,0,221,0,39,31,0,0,8,31,0,0,0,237,1,0,61,0,0,0,43,21,126,414,419,152,7,45,0,253,0,1,0,0,0,17,849,0,950,0,4,2,0
"car17",115,0,19,9,24,4,17,1,58,18,4,0,0,194,87,61,0,65,7,7,69,6,42,22,672,11,42,66,29,10,9,82,0,0,0,44,48,14,799,0,83,28,0
"car18",204,164,0,38,3,0,56,41,18,0,43,0,13,73,211,0,65,0,0,70,10,0,1,2,280,0,10,13,192,0,17,83,1,175,0,1,3,189,203,0,257,14,41
"car19",0,98,0,0,0,0,0,0,0,8,0,2,81,0,4,0,7,0,0,0,0,0,6,4,0,0,0,0,0,0,0,7,436,104,3,0,0,197,0,35,0,0,869
"car20",6,20,5,0,0,0,0,0,0,2,0,0,0,2,15,0,7,70,0,0,1,3,4,11,21,0,0,0,10,0,0,8,0,20,0,7,0,10,9,0,10,0,0
