"","car1","car2","car3","car4","car5","car6","car7","car8","car9","car10","car11","car12","car13","car14","car15","car16","car17","car18","car19","car20","car21","car22","car23","car24","car25","car26","car27","car28","car29","car30","car31","car32","car33","car34","car35","car36","car37","car38","car39","car40","car41","car42","car43"
"car1",0,4,10,8,11,1,10,3,44,21,15,0,3,115,89,6,80,36,0,0,22,12,7,48,445,0,14,44,22,5,30,51,2,1,0,42,5,10,528,0,67,13,0
"car2",40,0,0,9,0,0,9,0,0,0,12,0,28,0,45,0,0,87,25,8,0,0,0,0,0,0,0,0,22,0,2,28,14,30,0,0,0,57,0,0,18,0,50
"car3",1,0,0,0,3,123,0,0,0,135,0,0,0,10,22,78,3,0,0,0,7,98,254,838,33,6,0,3,0,12,0,3,0,0,17,5,67,0,64,0,0,0,0
"car4",16,9,4,0,4,0,18,0,5,0,6,0,28,6,24,0,7,18,0,0,1,0,2,17,30,0,0,0,15,1,1,25,6,0,0,1,0,16,24,0,19,3,2
"car5",1,0,20,0,0,0,0,0,4,2,0,0,0,17,0,20,6,0,0,0,11,1,4,15,16,1,0,2,0,6,0,1,0,0,0,0,8,0,57,0,0,1,0
"car6",0,0,60,0,0,0,0,0,0,22,0,0,0,1,0,16,3,0,0,0,1,16,79,152,3,3,0,2,0,0,0,0,0,0,0,1,15,0,5,0,0,0,0
"car7",57,26,3,45,0,0,0,0,1,1,1,0,0,7,26,0,15,34,0,0,3,0,1,1,43,0,3,3,13,0,14,8,0,0,0,0,0,11,71,0,18,1,1
"car8",13,4,0,1,0,0,1,0,1,0,2,0,6,1,4,0,1,21,0,0,0,0,0,12,4,0,0,0,8,0,0,8,2,1,0,0,0,0,1,0,14,0,1
"car9",5,0,1,2,9,0,2,0,0,2,2,0,0,75,5,8,26,1,0,0,11,0,3,9,131,0,5,9,0,3,0,2,0,0,0,2,23,0,187,0,7,13,0
"car10",0,0,151,0,6,32,0,0,0,0,0,0,0,14,3,15,0,0,1,0,2,38,115,318,8,2,0,4,0,3,0,3,0,0,0,0,22,0,24,0,1,2,0
"car11",29,0,0,1,0,0,1,0,3,0,0,0,0,10,24,0,3,9,0,0,5,0,6,0,52,0,4,0,2,0,3,1,0,0,0,0,0,2,55,0,7,1,0
"car12",1,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1
"car13",12,73,0,18,0,0,0,4,0,0,0,0,0,0,40,0,0,11,39,0,0,0,0,0,0,0,0,0,12,0,0,48,50,16,0,0,0,58,0,0,6,0,113
"car14",20,0,25,0,16,5,2,1,50,26,4,0,0,0,22,169,70,2,0,0,40,13,21,72,314,16,12,50,1,75,0,13,0,0,0,14,132,0,701,0,23,11,0
