"","x"
"1",1
"2",3
"3",3
"4",3
"5",2
"6",3
"7",3
"8",1
"9",2
"10",2
"11",3
"12",1
"13",2
"14",1
"15",3
"16",1
"17",3
"18",1
"19",3
"20",1
"21",1
"22",2
"23",1
"24",3
"25",1
"26",3
"27",3
"28",3
"29",3
"30",2
"31",2
"32",2
"33",2
"34",1
"35",2
"36",1
"37",1
"38",1
"39",3
"40",3
"41",2
"42",2
"43",3
"44",1
"45",2
"46",1
"47",3
"48",1
"49",1
"50",3
"51",1
"52",1
"53",2
"54",2
"55",3
"56",3
"57",3
"58",3
"59",3
"60",1
"61",2
"62",3
"63",1
"64",2
"65",3
"66",2
"67",3
"68",1
"69",2
"70",3
"71",1
"72",1
"73",3
"74",3
"75",1
"76",3
"77",2
"78",3
"79",3
"80",3
"81",2
"82",1
"83",1
"84",3
"85",1
"86",2
"87",3
"88",2
"89",2
"90",1
"91",3
"92",1
"93",2
"94",3
"95",2
"96",1
"97",3
"98",2
"99",2
"100",1
"101",2
"102",2
"103",1
"104",2
"105",3
"106",3
"107",1
"108",2
"109",3
"110",2
"111",2
"112",3
"113",3
"114",2
"115",1
"116",3
"117",3
"118",2
"119",2
"120",2
"121",3
"122",3
"123",2
"124",2
"125",3
"126",1
"127",2
"128",2
"129",3
"130",2
"131",2
"132",1
"133",1
"134",3
"135",3
"136",2
"137",1
"138",2
"139",1
"140",2
"141",1
"142",3
"143",3
"144",3
"145",1
"146",3
"147",1
"148",1
"149",3
"150",3
"151",1
"152",2
"153",3
"154",3
"155",2
"156",3
"157",2
"158",3
"159",1
"160",1
"161",3
"162",1
"163",1
"164",1
"165",1
"166",1
"167",2
"168",1
"169",2
"170",1
"171",3
"172",2
"173",1
"174",3
"175",3
"176",2
"177",3
"178",1
"179",1
"180",3
"181",2
"182",1
"183",3
"184",3
"185",1
"186",3
"187",1
"188",2
"189",3
"190",1
"191",3
"192",1
"193",1
"194",3
"195",3
"196",1
"197",1
"198",2
"199",3
"200",1
"201",1
"202",3
"203",2
"204",1
"205",3
"206",3
"207",3
"208",3
"209",2
"210",1
"211",1
"212",3
"213",3
"214",1
"215",3
"216",1
"217",2
"218",3
"219",3
"220",3
"221",1
"222",2
"223",1
"224",2
"225",2
"226",3
"227",2
"228",2
"229",3
"230",1
"231",2
"232",2
"233",1
"234",1
"235",3
"236",2
"237",2
"238",1
"239",1
"240",3
"241",3
"242",2
"243",1
"244",3
"245",3
"246",3
"247",2
"248",3
"249",3
"250",2
"251",3
"252",1
"253",3
"254",3
"255",2
"256",1
"257",3
"258",2
"259",2
"260",1
"261",1
"262",2
"263",3
"264",1
"265",1
"266",3
"267",1
"268",1
"269",2
"270",3
"271",3
"272",2
"273",2
"274",2
"275",2
"276",2
"277",2
"278",1
"279",3
"280",2
"281",2
"282",2
"283",2
"284",2
"285",1
"286",1
"287",3
"288",3
"289",2
"290",3
"291",3
"292",3
"293",1
"294",2
"295",1
"296",2
"297",2
"298",3
"299",3
"300",1
"301",2
"302",3
"303",3
"304",2
"305",3
"306",2
"307",1
"308",1
"309",3
"310",3
"311",3
"312",2
"313",1
"314",3
"315",3
"316",3
"317",2
"318",2
"319",1
"320",2
"321",2
"322",3
"323",3
"324",1
"325",3
"326",2
"327",1
"328",2
"329",3
"330",2
"331",1
"332",1
"333",3
"334",3
"335",3
"336",3
"337",3
"338",2
"339",3
"340",1
"341",1
"342",2
"343",3
"344",2
"345",3
"346",3
"347",1
"348",2
"349",1
"350",1
"351",3
"352",3
"353",2
"354",2
"355",3
"356",1
"357",3
"358",2
"359",3
"360",1
"361",3
"362",3
"363",1
"364",2
"365",2
"366",3
"367",2
"368",2
"369",1
"370",1
"371",3
"372",3
"373",2
"374",3
"375",3
"376",2
"377",2
"378",3
"379",3
"380",2
"381",3
"382",1
"383",1
"384",2
"385",3
"386",1
"387",2
"388",3
"389",2
"390",3
"391",3
"392",2
"393",2
"394",3
"395",2
"396",1
"397",2
"398",1
"399",3
"400",1
"401",3
"402",3
"403",3
"404",3
"405",3
"406",3
"407",1
"408",1
"409",2
"410",1
"411",3
"412",1
"413",2
"414",2
"415",2
"416",3
"417",2
"418",3
"419",2
"420",3
"421",3
"422",3
"423",3
"424",1
"425",3
"426",3
"427",3
"428",1
"429",3
"430",1
"431",3
"432",1
"433",2
"434",1
"435",2
"436",3
"437",3
"438",3
"439",1
"440",2
"441",1
"442",3
"443",2
"444",2
"445",2
"446",2
"447",3
"448",1
"449",1
"450",3
"451",2
"452",3
"453",1
"454",3
"455",3
"456",3
"457",3
"458",2
"459",3
"460",1
"461",3
"462",3
"463",3
"464",1
"465",1
"466",3
"467",3
"468",3
"469",1
"470",3
"471",2
"472",1
"473",2
"474",1
"475",3
"476",3
"477",1
"478",3
"479",2
"480",1
"481",2
"482",1
"483",2
"484",1
"485",2
"486",3
"487",3
"488",3
"489",1
"490",3
"491",3
"492",1
"493",3
"494",1
"495",1
"496",3
"497",3
"498",1
"499",3
"500",3
